CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Brand,adverity_client_id,adverity_client_name
100.00%,Tracking,,1,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,1,1076399146,0.01,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,1,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,3/15/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-03-15,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.01,CPM,Masterbrand,3,ktboClient
0.00%,Tracking,,0,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,3,1076399146,0.0,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,0,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,3/17/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-03-17,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.0,CPM,Masterbrand,3,ktboClient
0.00%,In-Stream Video,,1,11/30/2020 12:00:00 AM,MCMMIA_Pringles,0,1075949153,0.0,1074084403,Xaxis LATAM,11/5/2020 12:00:00 AM,15,0,11/5/2020 12:00:00 AM,0.00%,Video_0x0_Always On_NOV_CRI_Banner1,0,1,Display,65663,RON,0,MCMMIA_Pringles,https://www.facebook.com/PringlesLA/,0,In-Stream Video,11/30/2020 12:00:00 AM,6.5,Xaxis - Video_RON_Video_0x0_CPM_Several_Impressions_Video_Always On_VT_CRI_NOV_L20,1,CPM,0.00,3/21/2021 12:00:00 AM,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_AlwaysOn_Sizmek_EveningMe_CPM-Xaxis-Video,2021-03-21,CR,MCMMIA_2020_CRI_Kelloggs_Pringles_Seasonal_Always On_Sizmek_Evening Me_CPM-Xaxis - Video_NOV_L20,MCMMIA,2020,CRI,Kelloggs,Pringles,Seasonal,Always On,Sizmek,Evening Me,CPM-Xaxis - Video,,pringles,0.0,CPM,Pringles,3,ktboClient
0.00%,Tracking,,0,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,1,1076399146,0.0,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,0,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,3/26/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-03-26,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.0,CPM,Masterbrand,3,ktboClient
26.67%,Tracking,,15,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,4,1076399146,0.12,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,21,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,3/29/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-03-29,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.12,CPM,Masterbrand,3,ktboClient
25.00%,In-Stream Video,,4,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,1,1076447109,0.02,1074199373,Xaxis LATAM,3/29/2021 12:00:00 AM,30,1,3/29/2021 12:00:00 AM,57.14%,Video In Stream_0x0_Masterbrand_CHL_MAR_L14,2,4,Display,200191,0,2,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables%20Chile&utm_term=VideoPreroll&utm_content=video,2,In-Stream Video,3/31/2021 12:00:00 AM,0.02,Xaxis_RON_Video In Stream_0x0_CPCV 100%_Several_Views_Video_CHL_MAR_L14,4,CPCV,0.00,3/29/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video,2021-03-29,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video_MAR_L14,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPCV-Xaxis - Video,,masterbrand,0.02,CPCV,Masterbrand,3,ktboClient
0.00%,In Banner,,1,4/30/2021 12:00:00 AM,MCMMIA_Pringles,0,1076447961,0.0,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_160x600_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,1,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_160x600,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_160x600_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,3/30/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-03-30,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,0.0,CPM,Pringles,3,ktboClient
0.24%,Tracking,,148889,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,364,1076399146,1191.11,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,148902,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,3/30/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-03-30,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,1191.11,CPM,Masterbrand,3,ktboClient
0.40%,In-Stream Video,,46943,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,189,1076447109,285.86,1074199373,Xaxis LATAM,3/29/2021 12:00:00 AM,30,14293,3/29/2021 12:00:00 AM,57.96%,Video In Stream_0x0_Masterbrand_CHL_MAR_L14,22212,46958,Display,200191,0,16186,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables%20Chile&utm_term=VideoPreroll&utm_content=video,18152,In-Stream Video,3/31/2021 12:00:00 AM,0.02,Xaxis_RON_Video In Stream_0x0_CPCV 100%_Several_Views_Video_CHL_MAR_L14,46621,CPCV,0.00,3/30/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video,2021-03-30,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video_MAR_L14,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPCV-Xaxis - Video,,masterbrand,285.86,CPCV,Masterbrand,3,ktboClient
0.00%,In-stream Video Tracking,,0,4/30/2021 12:00:00 AM,MCMMIA_Pringles,0,1076453927,0.0,1074200025,Spotify AR,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Spotify_RON_Video_1x1_CPV_Several_Views_Video_Promo Xbox_TR_ARG - ABR_L16_1083139361,0,0,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Spotify&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPV&utm_content=Video_TakeOver,0,Instream Video Tracking Pixel,4/30/2021 12:00:00 AM,10,Spotify_RON_Video_1x1_CPV_Several_Views_Video_Promo Xbox_TR_ARG - ABR_L16,1,CPM,0.00,3/31/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Spotify-VideoTakeOver,2021-03-31,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Video Take Over_ABR_L16,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Spotify - Video Take Over,,pringles,0.0,CPM,Pringles,3,ktboClient
0.00%,In Banner,,6,4/30/2021 12:00:00 AM,MCMMIA_Pringles,0,1076447961,0.02,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_160x600_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,6,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_160x600,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_160x600_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,3/31/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-03-31,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,0.02,CPM,Pringles,3,ktboClient
0.00%,In Banner,,5,4/30/2021 12:00:00 AM,MCMMIA_Pringles,0,1076447963,0.02,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_300x600_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,5,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_300x600,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_300x600_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,3/31/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-03-31,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,0.02,CPM,Pringles,3,ktboClient
0.18%,Tracking,,355800,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,625,1076399146,1483.76,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,355823,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,3/31/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-03-31,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,1483.76,CPM,Masterbrand,3,ktboClient
0.42%,In-Stream Video,,191021,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,806,1076447109,1353.84,1074199373,Xaxis LATAM,3/29/2021 12:00:00 AM,30,67692,3/29/2021 12:00:00 AM,58.40%,Video In Stream_0x0_Masterbrand_CHL_MAR_L14,100686,191060,Display,200191,0,75497,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables%20Chile&utm_term=VideoPreroll&utm_content=video,84105,In-Stream Video,3/31/2021 12:00:00 AM,0.02,Xaxis_RON_Video In Stream_0x0_CPCV 100%_Several_Views_Video_CHL_MAR_L14,190089,CPCV,0.00,3/31/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video,2021-03-31,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video_MAR_L14,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPCV-Xaxis - Video,,masterbrand,1353.84,CPCV,Masterbrand,3,ktboClient
1500.00%,Tracking,,1,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,15,1076399146,0.0,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,12,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,4/1/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-04-01,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.0,CPM,Masterbrand,3,ktboClient
1.54%,In-Stream Video,,65,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,1,1076447109,0.34,1074199373,Xaxis LATAM,3/29/2021 12:00:00 AM,30,17,3/29/2021 12:00:00 AM,57.61%,Video In Stream_0x0_Masterbrand_CHL_MAR_L14,28,65,Display,200191,0,22,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables%20Chile&utm_term=VideoPreroll&utm_content=video,25,In-Stream Video,3/31/2021 12:00:00 AM,0.02,Xaxis_RON_Video In Stream_0x0_CPCV 100%_Several_Views_Video_CHL_MAR_L14,66,CPCV,0.00,4/1/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video,2021-04-01,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video_MAR_L14,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPCV-Xaxis - Video,,masterbrand,0.34,CPCV,Masterbrand,3,ktboClient
100.00%,In-stream Video Tracking,,1,4/30/2021 12:00:00 AM,MCMMIA_Pringles,1,1076453927,0.01,1074200025,Spotify AR,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Spotify_RON_Video_1x1_CPV_Several_Views_Video_Promo Xbox_TR_ARG - ABR_L16_1083139361,0,1,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Spotify&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPV&utm_content=Video_TakeOver,0,Instream Video Tracking Pixel,4/30/2021 12:00:00 AM,10,Spotify_RON_Video_1x1_CPV_Several_Views_Video_Promo Xbox_TR_ARG - ABR_L16,0,CPM,0.00,4/2/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Spotify-VideoTakeOver,2021-04-02,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Video Take Over_ABR_L16,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Spotify - Video Take Over,,pringles,0.01,CPM,Pringles,3,ktboClient
50.00%,In Banner,,4,4/30/2021 12:00:00 AM,MCMMIA_Pringles,2,1076447961,0.01,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_160x600_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,4,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_160x600,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_160x600_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,4/2/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-04-02,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,0.01,CPM,Pringles,3,ktboClient
0.00%,Tracking,,0,4/30/2021 12:00:00 AM,MCMMIA_Pringles,1,1076453928,0.0,1074200166,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Spotify_RON_Audio_1x1_CPE_Several_Engagement_NA_Promo Xbox_TR_ARG - ABR_L17_1083139364,0,0,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Spotify&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPE&utm_content=Audio_ad,0,Tracking Pixel,4/30/2021 12:00:00 AM,9,Spotify_RON_Audio_1x1_CPE_Several_Engagement_NA_Promo Xbox_TR_ARG - ABR_L17,0,CPM,0.00,4/2/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Spotify-AudioAd,2021-04-02,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Audio Ad_ABR_L17,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Spotify - Audio Ad,,pringles,0.0,CPM,Pringles,3,ktboClient
0.00%,Tracking,,0,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,3,1076399146,0.0,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,18,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,4/2/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-04-02,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.0,CPM,Masterbrand,3,ktboClient
18.18%,In-Stream Video,,11,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,2,1076447109,0.16,1074199373,Xaxis LATAM,3/29/2021 12:00:00 AM,30,8,3/29/2021 12:00:00 AM,62.50%,Video In Stream_0x0_Masterbrand_CHL_MAR_L14,8,11,Display,200191,0,8,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables%20Chile&utm_term=VideoPreroll&utm_content=video,8,In-Stream Video,3/31/2021 12:00:00 AM,0.02,Xaxis_RON_Video In Stream_0x0_CPCV 100%_Several_Views_Video_CHL_MAR_L14,14,CPCV,0.00,4/2/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video,2021-04-02,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video_MAR_L14,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPCV-Xaxis - Video,,masterbrand,0.16,CPCV,Masterbrand,3,ktboClient
