CTR,Placement Type,Package Name,Impressions (Net),Placement End Date,Advertiser Name,Clicks (Net),Placement ID,Total Media Cost,Campaign ID,Site Name,Campaign Start Date,Ad Duration,Video Fully Played,Placement Start Date,Average Video Percentage Complete (%),Ad Name,Video Played 25%,Impressions (Gross),Campaign Type,Advertiser ID,Section Name,Video Played 75%,Brand Name,Click Through (URL),Video Played 50%,Ad Format Name,Campaign End Date,Cost per Unit,Placement Name,Video Started,Cost Model,Video Average Duration (Sec),Day,Campaign Name,Date,Country_code,Campaign Label,Agency,Year,Market,Client,Brand_portfolio,Temporality,Initiative,Adserver,Consumption occasions,Platform,New Ad Format,unified_brand,Platform Cost,New Buying Type,Brand,adverity_client_id,adverity_client_name
1.83%,In-stream Video Tracking,,13684,4/30/2021 12:00:00 AM,MCMMIA_Pringles,250,1076453927,136.84,1074200025,Spotify AR,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Spotify_RON_Video_1x1_CPV_Several_Views_Video_Promo Xbox_TR_ARG - ABR_L16_1083139361,0,13684,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Spotify&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPV&utm_content=Video_TakeOver,0,Instream Video Tracking Pixel,4/30/2021 12:00:00 AM,10,Spotify_RON_Video_1x1_CPV_Several_Views_Video_Promo Xbox_TR_ARG - ABR_L16,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Spotify-VideoTakeOver,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Video Take Over_ABR_L16,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Spotify - Video Take Over,,pringles,136.84,CPM,Pringles,3,ktboClient
0.00%,In Banner,,302,4/30/2021 12:00:00 AM,MCMMIA_Pringles,0,1076447961,0.91,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_160x600_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,303,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_160x600,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_160x600_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,0.91,CPM,Pringles,3,ktboClient
0.13%,In Banner,,20488,4/30/2021 12:00:00 AM,MCMMIA_Pringles,27,1076447962,61.46,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_300x250_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,20506,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_300x250,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_300x250_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,61.46,CPM,Pringles,3,ktboClient
0.11%,In Banner,,8479,4/30/2021 12:00:00 AM,MCMMIA_Pringles,9,1076447963,25.44,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_300x600_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,8485,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_300x600,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_300x600_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,25.44,CPM,Pringles,3,ktboClient
0.26%,In Banner,,12162,4/30/2021 12:00:00 AM,MCMMIA_Pringles,32,1076447964,36.49,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_320x50_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,12174,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_320x50,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_320x50_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,36.49,CPM,Pringles,3,ktboClient
0.05%,In Banner,,1924,4/30/2021 12:00:00 AM,MCMMIA_Pringles,1,1076447966,5.77,1074199400,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Standard Banner_728x90_Promo Xbox_Xaxis - SB_TG_ARG - ABR_L13,0,1929,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Xaxis&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPM&utm_content=banner_728x90,0,HTML5 Rich Media Banner,4/30/2021 12:00:00 AM,3,Xaxis_RON_Standard Banner_728x90_CPM_Several_Impressions_Display_Promo Xbox_TG_ARG - ABR_L13,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Xaxis-StandardBanner,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banner_ABR_L13,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Xaxis - Standard Banner,,pringles,5.77,CPM,Pringles,3,ktboClient
0.14%,Tracking,,16378,4/30/2021 12:00:00 AM,MCMMIA_Pringles,23,1076453928,147.4,1074200166,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Spotify_RON_Audio_1x1_CPE_Several_Engagement_NA_Promo Xbox_TR_ARG - ABR_L17_1083139364,0,16386,Display,65663,0,0,MCMMIA_Pringles,http://pringlesgamer.com.ar/?utm_source=Display&utm_medium=Spotify&utm_campaign=Promo_Pringles_Xbox&utm_term=PromoXbox_CPE&utm_content=Audio_ad,0,Tracking Pixel,4/30/2021 12:00:00 AM,9,Spotify_RON_Audio_1x1_CPE_Several_Engagement_NA_Promo Xbox_TR_ARG - ABR_L17,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_PromoXbox_Sizmek_EveningMe_CPM-Spotify-AudioAd,2021-04-25,AR,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Audio Ad_ABR_L17,MCMMIA,2021,ARG,Kelloggs,Pringles,Seasonal,Promo Xbox,Sizmek,Evening Me,CPM-Spotify - Audio Ad,,pringles,147.4,CPM,Pringles,3,ktboClient
0.00%,Tracking,,1,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,0,1076399146,0.0,1074191102,Xaxis LATAM,3/15/2021 12:00:00 AM,0,0,3/15/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15_1082987325,0,1,Display,200191,RON ,0,MASTEBRAND,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables Chile&utm_term=Scroll_Reactive&utm_content=banner,0,Scroll Reactive,3/31/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_MAR_L15,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-04-25,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_MAR_L15,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,0.0,CPM,Masterbrand,3,ktboClient
0.00%,In-Stream Video,,0,3/31/2021 12:00:00 AM,MCMMIA_Kelloggs,0,1076447109,0.0,1074199373,Xaxis LATAM,3/29/2021 12:00:00 AM,30,0,3/29/2021 12:00:00 AM,0.00%,Video In Stream_0x0_Masterbrand_CHL_MAR_L14,0,0,Display,200191,0,0,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables%20Chile&utm_term=VideoPreroll&utm_content=video,0,In-Stream Video,3/31/2021 12:00:00 AM,0.02,Xaxis_RON_Video In Stream_0x0_CPCV 100%_Several_Views_Video_CHL_MAR_L14,0,CPCV,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPCV-Xaxis-Video,2021-04-25,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video_MAR_L14,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPCV-Xaxis - Video,,masterbrand,0.0,CPCV,Masterbrand,3,ktboClient
0.13%,Tracking,,17259,4/30/2021 12:00:00 AM,MCMMIA_Kelloggs,23,1076452218,138.07,1074200074,Xaxis LATAM,4/1/2021 12:00:00 AM,0,0,4/1/2021 12:00:00 AM,0.00%,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One - TR_CHL_ABR_L18_1083136673,0,17277,Display,200191,RON ,0,MCMMIA_Kelloggs,https://www.icb.cl/marcas/kelloggs/?utm_source=Display&utm_medium=Xaxis&utm_campaign=MB_Incansables,0,Scroll Reactive,4/30/2021 12:00:00 AM,8,Xaxis_RON_Scroll Reactive_1x1_CPM_Several_Impressions_Display_Breakfast for One_TR_CHL-ABR_L18,0,CPM,0.00,4/25/2021 12:00:00 AM,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_DespiertaMuchoMas_Sizmek_BreakfastforOne_CPM-Xaxis-ScrollReactive,2021-04-25,CL,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive_ABR_L18,MCMMIA,2021,CHL,Kelloggs,Masterbrand,Seasonal,Despierta Mucho Mas,Sizmek,Breakfast for One,CPM-Xaxis - Scroll Reactive,Scroll Reactive,masterbrand,138.07,CPM,Masterbrand,3,ktboClient
