Campaign Name,Mediaplan
MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_XAXIS-STANDARDBANNERS_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia
MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_AUDIO_BREAKFASTFORONE_CPM-AUDIO,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia
MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_KIDSCORP_FAMILYBREAKFAST_CPM-KIDSCORP,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia
MCMPR_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-EIKON,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPV-EIKON,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_GLOBO_CPM_EVENINGLEISURETIME,0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles
KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_FSP_CPM_EVENINGLEISURETIME,0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles
MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
,
