Start Date,End Date,Month,Brand,Region,Country,Campaign,Platform,Touchpoint,Format,Goal,Investment,Reach,Impressions,CPM,Clicks,CPC,CTR,Views,CPV,VTR,CR,Complete Views,CPCV,Engagement,Sales Price,Sales Quantity,Insertions,File,Buy Type,CPM USD,CPC USD,CPV USD,Unnamed: 28,Unnamed: 29,Unnamed: 30
2020-07-13,2020-07-31 00:00:00,July,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.65,,16358.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-07-20,2020-07-31 00:00:00,July,Pringles,Caricam,Panamá,MCMPR_2020_PAN_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.65,,16358.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-07-13,2020-07-31 00:00:00,July,Pringles,Caricam,República Dominicana,MCMPR_2020_DOM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.65,,16349.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-07-20,2020-07-31 00:00:00,July,Pringles,Caricam,República Dominicana,MCMPR_2020_DOM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.65,,16349.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-09-01,2020-09-30 00:00:00,September,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Destapa y Gana_Tigo Media_Evening Me,Tigo Media,Tigo Media,Mensajeria,Clicks,187.5,,0.0,,9959.0,0.01,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-09-07,2020-09-30 00:00:00,September,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Destapa y Gana_Tigo Media_Evening Me,Tigo Media,Tigo Media,Mensajeria,Clicks,187.5,,0.0,,9959.0,0.01,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-09-14,2020-09-30 00:00:00,September,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Destapa y Gana_Tigo Media_Evening Me,Tigo Media,Tigo Media,Mensajeria,Clicks,187.5,,0.0,,9959.0,0.01,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-09-21,2020-09-30 00:00:00,September,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Destapa y Gana_Tigo Media_Evening Me,Tigo Media,Tigo Media,Mensajeria,Clicks,187.5,,0.0,,9959.0,0.01,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-09-27,2020-10-31 00:00:00,October,Special K,Caricam,Puerto Rico,MCMPR_2020_PRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Several,Impressions,279.7,,31078.0,8.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-10-04,2020-10-31 00:00:00,October,Special K,Caricam,Puerto Rico,MCMPR_2020_PRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Several,Impressions,720.78,,72078.0,7.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
