"Mediaplan","Mediaplan Placement","Campaign Name","Target value","Current value"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Facebook-CR","MCMMIA_2020_CRI_KELLOGGS_ZUCARITAS_SEASONAL_RECREATE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","1,817,108","4,535,083"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Xaxis - Video-SV","MCMPR_2020_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_REFORMULACION_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","893,017.86","8,605.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Instagram-CR","MCMMIA_2020_CRI_KELLOGGS_ZUCARITAS_SEASONAL_RECREATE_FACEBOOK_INSTAGRAM_REACH_CPM_FAMILYBREAKFAST","83,333","2,791,549"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSONPRIDE_FACEBOOK_INSTAGRAM_ENGAGEMENT_CPE_EVENINGME","207,065.12","137,162.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Facebook and Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSONQUEDATEENCASA_FACEBOOK_FACEBOOKANDINSTAGRAM_ENGAGEMENT_CPE_EVENINGME","555,555.56","476,949.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Facebook and Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","1,818,197.80","98,115.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Youtube-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_CAEMEJOR_PLACEMENTSVIDEOS_CPV_EVENINGME","5,040.00","382,722.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Youtube-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_MOVIMIENTOPRINGLES_PLACEMENTSVIDEOS_CPV_EVENINGME","1,824,302.38","1,428,180.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Youtube-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_SNACKEAYGANA_AFFINITYAUDIENCES_CPA_EVENINGME","45,368,407",""
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Youtube-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_SNACKEAYGANA_PLACEMENTSVIDEOS_CPV_EVENINGME","1,666,666.67","325,739.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Youtube-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_WAVY_AFFINITYAUDIENCES_CPV_EVENINGME","833,333.33","396,026.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Facebook and Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_MOVIMIENTOPRINGLES_FACEBOOK_FACEBOOKANDINSTAGRAM_ENGAGEMENT_CPE_EVENINGME","38,629,283.49","930,451.00"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Facebook and Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_MOVIMIENTOPRINGLES_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPCV_EVENINGME","0","1,190,938"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_MOVIMIENTOPRINGLES_FACEBOOK_INSTAGRAM_REACH_CPM_EVENINGME","245,367","5,623,609"
"2020_ktbo_kube_Adverity_Mediaplan_Acumulado-EneroAgosto","Facebook and Instagram-DO","MCMMIA_2020_DOM_KELLOGGS_PRINGLES_SEASONAL_SNACKEAYGANA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","26,250.00","513,479.00"
