"Mediaplan","Mediaplan Placement","Campaign Name","Buying unit","Planned Costs ($)","Costs ($)","Target value","Current value","Current delivery (%)","Delivery status"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Claro Mobile-CR","MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE","Impressions","","$ 1,000.00","200,000","59,108","30 %","< 90%"
"2021_ktbo_kube_Adverity-Mediaplan_Marzo-PromoXbox","Facebook and Instagram-CO","MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME","Clicks","","$ 371.52","55,160","22,223","40 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMIA_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 21,800.00","193,828,316","86,781,658","45 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis PUSH NOTIFICATION ADS-CR","MCMPR_2021_CRI_KELLOGGS_SPECIALK_SEASONAL_ALIMENTAMOSLOQUEERES_XAXISPUSHNOTIFICATIONADS_BREAKFASTFORONE_CPM-XAXISPUSHNOTIFICATIONADS","Impressions","","$ 1,020.80","261,495","152,549","58 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 5,000.00","8,333,333","5,531,259","66 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","$ 5,000.00","$ 5,000.00","8,333,333","5,531,259","66 %","< 90%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","$ 2,842.00","$ 2,131.51","4,736,667","3,510,765","74 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_365BOWLS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 20,000.00","16,666,667","13,010,300","78 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","Impressions","","$ 3,000.00","7,894,737","6,745,692","85 %","< 90%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_MEDIUMBOX_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","","$ 650.13","312,500.00","268,504.00","86 %","< 90%"
