"Mediaplan","Mediaplan Placement","Campaign Name","Buying unit","Planned Costs ($)","Costs ($)","Target value","Current value","Current delivery (%)","Delivery status"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE","Clicks","","$ 3,690.90","23,740","70,536","297 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","","$ 5,082.98","700,000.00","2,250,240.00","321 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 7,648.00","6,373,350","21,952,672","344 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_M&MS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 46,087.79","47,533,328","165,449,974","348 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPC_EVENINGME","Clicks","","$ 1,998.51","1,667","5,896","354 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","","$ 8,717.64","1,125,005.00","4,088,384.00","363 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Youtube-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","Video Views","","$ 299,368.25","29,226,146.85","112,752,937.00","386 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-SV","MCMMIA_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","","$ 4,960.43","607,752.50","2,415,524.00","397 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 7,200.00","4,017,857","16,381,676","408 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-SV","MCMMIA_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 3,190.00","2,658,367","11,238,246","423 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-PA","MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 2,639.00","952,381","5,198,934","546 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Cornershop-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP","Impressions","","$ 64,885.50","300,000","1,903,332","634 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_REDCITYGDL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 7,156.49","2,242,823","14,984,068","668 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 3,808.00","595,238","4,052,616","681 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-DO","MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 4,435.20","1,845,238","13,209,638","716 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","Impressions","","$ 4,377.60","1,130,952","8,397,256","742 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","ThinkY-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_MEGALATA_THINKY_EVENINGME_FIXED-THINKY","Video Views","","$ 28,625.95","1,750,000.00","14,113,458.00","806 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPC_EVENINGME","Clicks","","$ 1,832.37","1,527","14,652","960 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Youtube-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_EQUITY_AFFINITYAUDIENCES_CPM_EVENINGME","Impressions","","$ 74,040.11","4,306,220","54,571,946","1,267 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Google - Reserva-MX","MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPM","Impressions","","","12,199,525","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_KELLOGGWINNINGCULTURE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","Impressions","","","1,968,085","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_WINNINGBODYANDMINE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","Impressions","","","2,530,546","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","","1,333,333","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Sunmedia-MX","MCMMX_2021_MEX_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPCV-SUNMEDIA","Video Views","","","343,220.34","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRADELICE_FACEBOOK_FACEBOOK_VIDEOVIEWS_CPCV_AFTERNOONSNACK","Video Views","","","391,273.58","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRADELICE_FACEBOOK_INSTAGRAM_VIDEOVIEWS_CPCV_AFTERNOONSNACK","Video Views","","","27,650.00","","",""
"2021_ktbo_kube_Adverity-Mediaplan_Marzo-PromoXbox","Cornershop-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_CORNERSHOP_EVENINGME_FIXED-CORNERSHOP","Impressions","","","87,000","","",""
"2021_ktbo_kube_Adverity-Mediaplan_Marzo-PromoXbox","Gameloft-MX","MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_GAMELOFT_EVENINGME_CPM-GAMELOFT","Impressions","","","1,000,000","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Kidscorp-CO","MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_KIDSCORP_BREAKFASTFORONE_CPV-KIDSCORP","Video Views","","","43,569.00","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Xaxis - Standard Banners-CO","MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_XAXIS-STANDARDBANNERS_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS","Impressions","","","717,513","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Audio-CO","MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_AUDIO_BREAKFASTFORONE_CPM-AUDIO","Impressions","","","35,179,000","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Kidscorp-CO","MCMCO_2021_COL_KELLOGGS_HEALTHYKIDS_SEASONAL_HEALTHYKIDSGRANOLA_KIDSCORP_FAMILYBREAKFAST_CPM-KIDSCORP","Impressions","","","125,000","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Spotify-Takeover-CO","MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-SPOTIFY-TAKEOVER","Impressions","","","106,623","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Eikon-SV","MCMPR_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-EIKON","Video Views","","","89,248.00","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-PA","MCMPR_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","","55,734.67","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Eikon-SV","MCMPR_2021_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPV-EIKON","Video Views","","","66,666.67","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-GT","MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO","Video Views","","","83,333.00","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-CR","MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO","Video Views","","","70,000.00","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Eikon-GT","MCMPR_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON","Video Views","","","20,833.25","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Eikon-CR","MCMPR_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON","Video Views","","","17,500.00","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-GT","MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","","23,333.33","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-SV","MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","","33,333.33","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-CR","MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","","16,666.67","","",""
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","GFR-Banners-PR","MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPM-GFR-BANNERS","Impressions","","$ 0.00","0","46,487","",""
"0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles","Goblo.com-BR","KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_GLOBO_CPM_EVENINGLEISURETIME","Impressions","$ 70,000.00","","5,982,906","","",""
"0321_KTBO_MediaBuying_MediaPlanTaxonomy_WelcomeRuffles_Pringles","Folha de São Paulo-BR","KTBO_2021_BRA_KELLOGGS_PRINGLES_SEASONAL_WELCOMERUFFLES_FSP_CPM_EVENINGLEISURETIME","Impressions","$ 33,196.00","","3,494,316","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","$ 1,800.00","","450,000.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Audio-PR","MCMPR_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_365BOWLS_AUDIO_BREAKFASTFORONE_CPM-AUDIO","Impressions","$ 2,500.00","","270,270","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Youtube-DO","MCMMIA_2021_DOM_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","Video Views","$ 2,200.00","","550,000.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Youtube-PR","MCMMIA_2021_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_GOOGLE_YOUTUBE_FROOTLOOPS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","Video Views","$ 3,500.00","","875,000.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_GOOGLE_YOUTUBE_HOMEOFFICE_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","Video Views","$ 3,000.00","","750,000.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_GOOGLE_YOUTUBE_HOMEOFFICE_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","Video Views","$ 2,500.02","","625,005.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis - Video-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO","Video Views","$ 2,500.02","","83,334.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis - Video-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO","Video Views","$ 2,100.00","","70,000.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Eikon-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON","Video Views","$ 2,500.02","","20,833.50","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Eikon-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON","Video Views","$ 2,100.00","","17,500.00","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis PUSH NOTIFICATION ADS-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS","Impressions","$ 1,999.98","","4,999,950","","",""
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Xaxis PUSH NOTIFICATION ADS-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS","Impressions","$ 1,999.98","","4,999,950","","",""
,,"","","$ 157,001.08","$ 1,117,667.22","1,023,975,571","1,183,649,180",,
