,Campaign Name
46,MCMPR_2020_GTM_KELLOGGS_PRINGLES_SEASONAL_DESTAPA Y GANA_TIGO MEDIA_EVENING ME
47,MCMPR_2020_CRI_KELLOGGS_CHOCO KRISPIS_SEASONAL_REFORMULACION_AUDIO_FAMILY BREAKFAST
48,MCMPR_2020_PAN_KELLOGGS_CHOCO KRISPIS_SEASONAL_REFORMULACION_AUDIO_FAMILY BREAKFAST
49,MCMPR_2020_PRI_KELLOGGS_ZUCARITAS_SEASONAL_MISSION TIGER_AUDIO_BREAKFAST FOR ONE
50,MCMPR_2020_JAM_KELLOGGS_CHEEZ IT_SEASONAL_CHEEZ IT_AUDIO_AFTERNOON SNACK
51,MCMPR_2020_BMU_KELLOGGS_CHEEZ IT_SEASONAL_CHEEZ IT_AUDIO_AFTERNOON SNACK
52,MCMPR_2020_JAM_KELLOGGS_CHEEZ IT_SEASONAL_CHEEZ IT_PUSH NOTIFICATIONS_AFTERNOON SNACK
53,MCMPR_2020_BMU_KELLOGGS_CHEEZ IT_SEASONAL_CHEEZ IT_PUSH NOTIFICATIONS_AFTERNOON SNACK
54,MCMPR_2020_GTM_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_AUDIO_FAMILY BREAKFAST
55,MCMPR_2020_CRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_AUDIO_FAMILY BREAKFAST
56,MCMPR_2020_PRI_KELLOGGS_PRINGLES_SEASONAL_NAVIDAD_PUSH NOTIFICATIONS_EVENING ME
57,MCMPR_2020_GTM_KELLOGGS_RICE KRISPIES_SEASONAL_RECOVERY PLAN_SPOTIFY_AFTERNOON SNACK
58,MCMPR_2020_CRI_KELLOGGS_RICE KRISPIES_SEASONAL_RECOVERY PLAN_SPOTIFY_AFTERNOON SNACK
59,MCMPR_2020_GTM_KELLOGGS_RICE KRISPIES_SEASONAL_RECOVERY PLAN_XAXIS_AFTERNOON SNACK
60,MCMPR_2020_CRI_KELLOGGS_RICE KRISPIES_SEASONAL_RECOVERY PLAN_XAXIS_AFTERNOON SNACK
61,MCMPR_2020_GTM_KELLOGGS_SPECIAL K BARS_SEASONAL_RECOVERY PLAN_SPOTIFY_AFTERNOON SNACK
62,MCMPR_2020_CRI_KELLOGGS_SPECIAL K BARS_SEASONAL_RECOVERY PLAN_SPOTIFY_AFTERNOON SNACK
63,MCMPR_2020_GTM_KELLOGGS_SPECIAL K BARS_SEASONAL_RECOVERY PLAN_XAXIS_AFTERNOON SNACK
64,MCMPR_2020_CRI_KELLOGGS_SPECIAL K BARS_SEASONAL_RECOVERY PLAN_XAXIS_AFTERNOON SNACK
65,MCMPR_2020_CRI_KELLOGGS_PRINGLES_SEASONAL_DESTAPA Y GANA_CLARO_EVENING ME
66,MCMPR_2020_GTM_KELLOGGS_PRINGLES_SEASONAL_DESTAPA Y GANA_CLARO_EVENING ME
67,MCMPR_2020_PAN_KELLOGGS_PRINGLES_SEASONAL_DESTAPA Y GANA_CLARO_EVENING ME
68,MCMMX_2020_MEX_KELLOGGS_MEZCLADITO_SEASONAL_MEZCLADITO_WALMART MEDIA_FAMILY BREAKFAST
69,MCMMX_2020_MEX_KELLOGGS_MEZCLADITO_SEASONAL_MEZCLADITO_CORNERSHOP_FAMILY BREAKFAST_FIXED-CORNERSHOP
70,MCMMX_2020_MEX_KELLOGGS_MEZCLADITO_SEASONAL_MEZCLADITO_RAPPI_FAMILY BREAKFAST_FIXED-RAPPI
71,MCMMIA_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_GOOGLE_GOOGLE - RESERVA_PROMO CHOCO TOYS_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
72,MCMMX_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_EQUITY_WALMART MEDIA_FAMILY BREAKFAST_FIXED-WALMART MEDIA
73,MCMMIA_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_GOOGLE_GOOGLE - RESERVA_EQUITY_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
74,MCMMIA_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_GOOGLE_GOOGLE - RESERVA_M&MS_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
75,MCMMX_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_EQUITY_WALMART MEDIA_FAMILY BREAKFAST
76,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_TOTE BAGS_CORNERSHOP_BREAKFAST FOR ONE
77,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_EQUITY_CORNERSHOP_BREAKFAST FOR ONE
78,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_PLAN CONTINGENCIA_CORNERSHOP_BREAKFAST FOR ONE
